Recall,NFS,SU,MacroF1,Acc
-1.,0.21969697,-0.44267611,-1.,-1.
-1.,0.21969697,-0.44267611,-1.,-1.
\,n
-0.99840623,0.53787879,-0.88717756,-0.99810444,-0.99821216
-0.99855769,0.56060606,-0.9419785,-0.99810501,-0.99821216
-0.99855769,0.56818182,-0.9419785,-0.99810501,-0.99821216
-0.99903846,0.34090909,-0.63454504,-0.9987363,-0.9988081
-1.,0.15151515,-0.32681638,-1.,-1.
-0.99897592,0.49242424,-0.85453902,-0.99905151,-0.99910608
-0.99903846,0.46969697,-0.82513535,-0.9987363,-0.9988081
-0.99831731,0.51515152,-0.88615958,-0.99778951,-0.99791418
-1.,0.26515152,-0.51538714,-1.,-1.
-0.99936777,0.4469697,-0.79135339,-0.99936777,-0.99940405
-0.99927885,0.53030303,-0.89695216,-0.99905208,-0.99910608
-0.99855769,0.52272727,-0.89594488,-0.99810501,-0.99821216
-0.99975962,0.34090909,-0.63353202,-0.99968393,-0.99970203
-0.99792546,0.5530303,-0.91939851,-0.99747335,-0.99761621
-0.99912738,0.35606061,-0.65790023,-0.99905179,-0.99910608
-0.99975962,0.34090909,-0.63427168,-0.99968393,-0.99970203
-0.99975962,0.36363636,-0.66902744,-0.99968393,-0.99970203
-0.99816584,0.4469697,-0.79125222,-0.99778885,-0.99791418
-0.99855769,0.35606061,-0.65724469,-0.99810501,-0.99821216
-0.99629551,0.37121212,-0.68138818,-0.99652113,-0.99672229
-0.99936777,0.48484848,-0.84276717,-0.99936777,-0.99940405
-0.99951923,0.36363636,-0.66857229,-0.99936796,-0.99940405
-1.,0.20454545,-0.41698612,-1.,-1.
-0.99831731,0.53030303,-0.89969803,-0.99778951,-0.99791418
-0.99879808,0.1969697,-0.4011199,-0.99842061,-0.99851013
-1.,0.28787879,-0.5513267,-1.,-1.
-1.,0.24242424,-0.47833997,-1.,-1.
-1.,0.25757576,-0.50060311,-1.,-1.
-1.,0.21969697,-0.44061467,-1.,-1.
-1.,0.22727273,-0.45349303,-1.,-1.
-1.,0.31818182,-0.59807374,-1.,-1.
-1.,0.31060606,-0.58690908,-1.,-1.
-1.,0.32575758,-0.61098569,-1.,-1.
-1.,0.21212121,-0.42886754,-1.,-1.
-1.,0.29545455,-0.5626711,-1.,-1.
-1.,0.34848485,-0.64555106,-1.,-1.
-0.99879808,0.39393939,-0.71385741,-0.99842061,-0.99851013
-0.99855769,0.53030303,-0.90668029,-0.99810501,-0.99821216
-1.,0.27272727,-0.52784739,-1.,-1.
-1.,0.37121212,-0.67837149,-1.,-1.
-0.99975962,0.37878788,-0.69052974,-0.99968393,-0.99970203
-0.99912738,0.45454545,-0.80300053,-0.99905179,-0.99910608
-0.99903846,0.43181818,-0.7720358,-0.9987363,-0.9988081
-0.99855769,0.5530303,-0.93023018,-0.99810501,-0.99821216
-1.,0.16666667,-0.35106668,-1.,-1.
-0.99951923,0.37878788,-0.69056772,-0.99936796,-0.99940405
-1.,0.28030303,-0.53664077,-1.,-1.
-1.,0.17424242,-0.36846299,-1.,-1.
-1.,0.23484848,-0.46475577,-1.,-1.
-1.,0.3030303,-0.57420222,-1.,-1.
-1.,0.15909091,-0.33853602,-1.,-1.
-1.,0.25,-0.49045892,-1.,-1.
-1.,0.33333333,-0.62170933,-1.,-1.
-1.,0.16666667,-0.35658157,-1.,-1.
-0.99879808,0.17424242,-0.36310609,-0.99842061,-0.99851013
-0.99879808,0.18181818,-0.38034322,-0.99842061,-0.99851013
-0.99951923,0.38636364,-0.70282881,-0.99936796,-0.99940405
-0.99792546,0.54545455,-0.90765019,-0.99747335,-0.99761621
-0.99801438,0.40151515,-0.72546688,-0.99778818,-0.99791418
-0.99879808,0.18939394,-0.39092496,-0.99842061,-0.99851013
