Recall,NFS,SU,MacroF1,Acc
-1.,0.29545455,-0.55816131,-1.,-1.
-0.99801438,0.42424242,-0.76120709,-0.99778818,-0.99791418
-0.99801438,0.28787879,-0.54941689,-0.99778818,-0.99791418
-0.99801438,0.21212121,-0.42655395,-0.99778818,-0.99791418
-0.99879808,0.51515152,-0.87511978,-0.99842061,-0.99851013
-1.,0.21969697,-0.43664816,-1.,-1.
-0.99960815,0.40909091,-0.72918129,-0.99968384,-0.99970203
-1.,0.22727273,-0.45350743,-1.,-1.
-1.,0.36363636,-0.66754919,-1.,-1.
-0.99816584,0.16666667,-0.34787793,-0.99778885,-0.99791418
-0.99801438,0.31818182,-0.59883908,-0.99778818,-0.99791418
-0.99840623,0.51515152,-0.87519891,-0.99810444,-0.99821216
-0.99801438,0.24242424,-0.47743624,-0.99778818,-0.99791418
-0.99762253,0.48484848,-0.84698073,-0.99747183,-0.99761621
-1.,0.51515152,-0.87519891,-1.,-1.
-1.,0.37121212,-0.67867899,-1.,-1.
-0.99840623,0.5,-0.86336542,-0.99810444,-0.99821216
-0.99855769,0.16666667,-0.34787793,-0.99810501,-0.99821216
-1.,0.28787879,-0.54937624,-1.,-1.
-0.99801438,0.31060606,-0.58247521,-0.99778818,-0.99791418
-0.99840623,0.46969697,-0.82354837,-0.99810444,-0.99821216
-0.99801438,0.25757576,-0.5017452,-0.99778818,-0.99791418
-1.,0.21212121,-0.42483233,-1.,-1.
-1.,0.51515152,-0.87511978,-1.,-1.
-0.99762253,0.48484848,-0.84698073,-0.99747183,-0.99761621
-1.,0.1969697,-0.4012563,-1.,-1.
-0.99879808,0.51515152,-0.87519891,-0.99842061,-0.99851013
-0.99801438,0.36363636,-0.66881092,-0.99778818,-0.99791418
-0.99960815,0.51515152,-0.87511978,-0.99968384,-0.99970203
-1.,0.25,-0.48927234,-1.,-1.
-0.99831731,0.16666667,-0.34787793,-0.99778951,-0.99791418
-0.99879808,0.4469697,-0.7940629,-0.99842061,-0.99851013
-1.,0.34848485,-0.64373223,-1.,-1.
-0.99801438,0.23484848,-0.46524735,-0.99778818,-0.99791418
-0.99879808,0.37878788,-0.69126508,-0.99842061,-0.99851013
-1.,0.39393939,-0.7144653,-1.,-1.
-0.99879808,0.49242424,-0.8517521,-0.99842061,-0.99851013
-1.,0.18939394,-0.38686662,-1.,-1.
-0.99801438,0.21212121,-0.42655395,-0.99778818,-0.99791418
-1.,0.27272727,-0.52720019,-1.,-1.
-1.,0.50757576,-0.8653431,-1.,-1.
-0.99801438,0.23484848,-0.46524735,-0.99778818,-0.99791418
-1.,0.51515152,-0.87511978,-1.,-1.
-0.99801438,0.35606061,-0.65762215,-0.99778818,-0.99791418
-0.99801438,0.32575758,-0.61160471,-0.99778818,-0.99791418
-0.99960815,0.51515152,-0.87511978,-0.99968384,-0.99970203
-0.99840623,0.51515152,-0.87533195,-0.99810444,-0.99821216
-0.99801438,0.42424242,-0.76120709,-0.99778818,-0.99791418
-0.99801438,0.21969697,-0.43860075,-0.99778818,-0.99791418
-1.,0.37121212,-0.67867899,-1.,-1.
-0.99879808,0.46969697,-0.82354837,-0.99842061,-0.99851013
-1.,0.24242424,-0.47700433,-1.,-1.
-1.,0.18939394,-0.38686662,-1.,-1.
-1.,0.42424242,-0.76004744,-1.,-1.
-1.,0.21212121,-0.42483233,-1.,-1.
-0.99801438,0.36363636,-0.66881092,-0.99778818,-0.99791418
-1.,0.49242424,-0.8517521,-1.,-1.
-0.99801438,0.20454545,-0.41480563,-0.99778818,-0.99791418
-0.99960815,0.33333333,-0.61841176,-0.99968384,-0.99970203
-1.,0.22727273,-0.45350743,-1.,-1.
-1.,0.51515152,-0.87519891,-1.,-1.
-0.99840623,0.51515152,-0.87511978,-0.99810444,-0.99821216
-0.99801438,0.21212121,-0.42655395,-0.99778818,-0.99791418
-1.,0.47727273,-0.83516169,-1.,-1.
-0.99801438,0.40909091,-0.73728398,-0.99778818,-0.99791418
-1.,0.37121212,-0.67867899,-1.,-1.
