Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
pymoo;nsga3;zdt1;6;3.661556094;0.003493303;0.002214089;Media;3.661549742;0.003502397;0.002220276
pymoo;nsga3;zdt1;7;3.661556087;0.003496626;0.002217264;Peor;3.661502725;0.00352338;0.002214089
pymoo;nsga3;zdt1;8;3.661556896;0.003495156;0.002215627;;;;
pymoo;nsga3;zdt1;9;3.661559639;0.00349974;0.002219176;;;;
pymoo;nsga3;zdt1;10;3.661555766;0.003496482;0.002218153;;;;
pymoo;nsga3;zdt1;11;3.661529704;0.003501453;0.002224381;;;;
pymoo;nsga3;zdt1;11;3.66155456;0.00349713;0.00221599;;;;
;;;;;;;;;;
pymoo;nsga3;zdt2;1;3.328486742;0.003607765;0.002119325;;;;
pymoo;nsga3;zdt2;2;3.328461489;0.003617926;0.00212894;;;;
pymoo;nsga3;zdt2;3;3.328486742;0.003607765;0.002119325;;;;
pymoo;nsga3;zdt2;4;3.328490619;0.003622013;0.002129029;;;;
pymoo;nsga3;zdt2;5;3.328487027;0.003618987;0.002124263;Mejor;3.328490619;0.003607765;0.00211932
pymoo;nsga3;zdt2;6;3.328490403;0.003615895;0.0021234;Media;3.328481696;0.003614764;0.002124208
pymoo;nsga3;zdt2;7;3.328489067;0.003619886;0.002123614;Peor;3.328440934;0.003622013;0.00211932
pymoo;nsga3;zdt2;8;3.328485902;0.003617527;0.00212771;;;;
pymoo;nsga3;zdt2;9;3.328484871;0.003616846;0.002127949;;;;
pymoo;nsga3;zdt2;10;3.328440934;0.003615315;0.00212572;;;;
pymoo;nsga3;zdt2;11;3.328489817;0.003609471;0.002121899;;;;
pymoo;nsga3;zdt2;11;3.32848674;0.00360777;0.00211932;;;;
;;;;;;;;;;
pymoo;nsga3;zdt3;1;4.447190871;0.005656056;0.041999836;;;;
pymoo;nsga3;zdt3;2;4.813129646;0.00475749;0.001670097;;;;
pymoo;nsga3;zdt3;3;4.447190871;0.005656056;0.041999836;;;;
pymoo;nsga3;zdt3;4;4.813153884;0.004828791;0.001680438;;;;
pymoo;nsga3;zdt3;5;4.813209158;0.004705248;0.00166925;Mejor;4.813209158;0.004705248;0.00166925
pymoo;nsga3;zdt3;6;4.813123065;0.004821259;0.001678507;Media;4.721640138;0.005010146;0.011762082
pymoo;nsga3;zdt3;7;4.813168324;0.004850456;0.001688086;Peor;4.44719087;0.00565606;0.00166925
pymoo;nsga3;zdt3;8;4.813111;0.004731932;0.001669839;;;;
pymoo;nsga3;zdt3;9;4.81319416;0.004719305;0.001670824;;;;
pymoo;nsga3;zdt3;10;4.813089707;0.004874056;0.001687349;;;;
pymoo;nsga3;zdt3;11;4.812930102;0.004865047;0.001731077;;;;
pymoo;nsga3;zdt3;11;4.44719087;0.00565606;0.04199984;;;;
;;;;;;;;;;
pymoo;nsga3;zdt4;1;15.64935068;0.015662785;0.002439408;;;;
pymoo;nsga3;zdt4;2;15.66031142;0.003630936;0.002514158;;;;
pymoo;nsga3;zdt4;3;15.64935068;0.015662785;0.002439408;;;;
pymoo;nsga3;zdt4;4;15.66001925;0.003514096;0.002435969;;;;
pymoo;nsga3;zdt4;5;15.64421756;0.005797098;0.005467408;Mejor;15.66121784;0.003499067;0.002341933
pymoo;nsga3;zdt4;6;15.65943915;0.00350879;0.002488076;Media;15.6552502;0.006872054;0.002882275
pymoo;nsga3;zdt4;7;15.65906958;0.003632448;0.00267776;Peor;15.64421756;0.015662785;0.002341933
pymoo;nsga3;zdt4;8;15.65976566;0.00359938;0.002563432;;;;
