"Generation","Time","cores","pause"
59,2629.24684000015,"2","1"
60,2676.02528595924,"2","1"
61,2716.82996296883,"2","1"
62,2759.6909558773,"2","1"
63,2802.408659935,"2","1"
64,2849.36751794815,"2","1"
65,2894.1522359848,"2","1"
66,2949.34138798714,"2","1"
67,2988.21985292435,"2","1"
68,3030.23616600037,"2","1"
69,3074.20055103302,"2","1"
70,3120.18595290184,"2","1"
71,3159.83069801331,"2","1"
72,3204.72788596153,"2","1"
73,3247.64346909523,"2","1"
74,3295.4878950119,"2","1"
75,3342.4764521122,"2","1"
76,3382.47943091393,"2","1"
77,3425.40963792801,"2","1"
78,3468.3257920742,"2","1"
79,3510.30075597763,"2","1"
80,3552.03738689423,"2","1"
81,3590.86391592026,"2","1"
82,3636.03075408936,"2","1"
83,3682.61448001862,"2","1"
84,3730.12631702423,"2","1"
85,3771.81121587753,"2","1"
86,3818.84427690506,"2","1"
87,3861.95633196831,"2","1"
88,3901.94697189331,"2","1"
89,3944.19744706154,"2","1"
90,3986.1814250946,"2","1"
91,4030.09038496017,"2","1"
92,4073.89453101158,"2","1"
93,4119.18718099594,"2","1"
94,4162.03875994682,"2","1"
95,4205.78494405746,"2","1"
96,4252.86128401756,"2","1"
97,4291.65361309052,"2","1"
98,4330.46138811111,"2","1"
99,4374.50714302063,"2","1"
100,4418.36286401749,"2","1"
1,205.282273054123,"2","2"
2,300.007864952087,"2","2"
3,382.433626890182,"2","2"
4,468.684897899628,"2","2"
5,546.949197053909,"2","2"
6,636.139489889145,"2","2"
7,720.91307592392,"2","2"
8,812.149411916733,"2","2"
9,899.30651307106,"2","2"
10,982.159054994583,"2","2"
11,1077.34189796448,"2","2"
12,1158.35506105423,"2","2"
13,1243.56970000267,"2","2"
14,1336.63820099831,"2","2"
15,1417.79879808426,"2","2"
16,1506.94002604485,"2","2"
17,1592.12959194183,"2","2"
18,1681.13758301735,"2","2"
19,1760.02955389023,"2","2"
20,1848.93275094032,"2","2"
21,1935.78792095184,"2","2"
22,2016.93517208099,"2","2"
23,2106.51150107384,"2","2"
24,2187.59687805176,"2","2"
25,2282.67767500877,"2","2"
26,2374.02434396744,"2","2"
27,2459.29479002953,"2","2"
28,2546.15209007263,"2","2"
29,2635.02004790306,"2","2"
30,2718.18040204048,"2","2"
31,2808.99176597595,"2","2"
32,2902.29363298416,"2","2"
33,2985.17985606194,"2","2"
34,3078.15456008911,"2","2"
35,3161.27346491814,"2","2"
36,3244.32618188858,"2","2"
37,3335.52642607689,"2","2"
38,3426.38825106621,"2","2"
39,3522.38380789757,"2","2"
40,3606.1222589016,"2","2"
41,3700.33803892136,"2","2"
42,3792.45691585541,"2","2"
43,3874.40157794952,"2","2"
44,3966.61484289169,"2","2"
45,4050.61645293236,"2","2"
46,4138.28903102875,"2","2"
47,4229.8986530304,"2","2"
48,4319.91955685616,"2","2"
49,4401.62390995026,"2","2"
50,4483.52144193649,"2","2"
51,4573.28330898285,"2","2"
52,4656.99958705902,"2","2"
53,4743.29123902321,"2","2"
54,4823.83697986603,"2","2"
55,4912.56463694572,"2","2"
56,4997.04910302162,"2","2"
57,5085.44201898575,"2","2"
58,5169.29723191261,"2","2"
59,5253.20603704453,"2","2"
60,5347.73216199875,"2","2"
61,5429.54140806198,"2","2"
62,5515.12042188644,"2","2"
63,5601.02828598022,"2","2"
64,5695.34018707275,"2","2"
65,5785.60586500168,"2","2"
66,5879.34945392609,"2","2"
67,5957.03482699394,"2","2"
68,6040.64601802826,"2","2"
69,6128.27221798897,"2","2"
70,6220.13707494736,"2","2"
71,6299.75643205643,"2","2"
72,6389.48454499245,"2","2"
73,6475.3049519062,"2","2"
74,6571.22201704979,"2","2"
75,6665.14751887321,"2","2"
76,6744.64613986015,"2","2"
77,6830.434278965,"2","2"
78,6916.19478297234,"2","2"
79,6999.66654992104,"2","2"
80,7083.43018102646,"2","2"
81,7160.87645506859,"2","2"
82,7250.72182703018,"2","2"
83,7344.64473199844,"2","2"
84,7440.56507706642,"2","2"
85,7524.24010300636,"2","2"
86,7618.26760697365,"2","2"
87,7704.16298007965,"2","2"
88,7784.06057691574,"2","2"
89,7867.69413805008,"2","2"
90,7951.78795790672,"2","2"
91,8039.71418905258,"2","2"
92,8127.51221895218,"2","2"
93,8217.50384902954,"2","2"
94,8303.26691699028,"2","2"
95,8391.18005204201,"2","2"
96,8485.21190595627,"2","2"
97,8562.90741586685,"2","2"
98,8640.58855986595,"2","2"
99,8728.30979800224,"2","2"
100,8816.22132492065,"2","2"
1,7.98678112030029,"3","0.01"
2,8.80020618438721,"3","0.01"
3,9.43098402023315,"3","0.01"
4,10.1467711925507,"3","0.01"
5,10.8151531219482,"3","0.01"
6,11.8783571720123,"3","0.01"
7,12.6133370399475,"3","0.01"
8,13.2794539928436,"3","0.01"
9,14.2782900333405,"3","0.01"
10,14.9127810001373,"3","0.01"
11,15.6798231601715,"3","0.01"
12,16.3947050571442,"3","0.01"
13,17.7303810119629,"3","0.01"
14,18.8090891838074,"3","0.01"
15,19.4469931125641,"3","0.01"
16,20.461991071701,"3","0.01"
17,21.1950211524963,"3","0.01"
18,22.1587030887604,"3","0.01"
19,22.7783980369568,"3","0.01"
20,23.7603750228882,"3","0.01"
21,24.4938712120056,"3","0.01"
22,25.1476771831512,"3","0.01"
23,25.8606770038605,"3","0.01"
24,27.19500207901,"3","0.01"
25,27.9441721439362,"3","0.01"
26,28.6449999809265,"3","0.01"
27,29.3107450008392,"3","0.01"
28,30.0259690284729,"3","0.01"
29,30.6612951755524,"3","0.01"
30,31.2930011749268,"3","0.01"
31,32.346048116684,"3","0.01"
32,33.0379071235657,"3","0.01"
33,33.6577100753784,"3","0.01"
34,34.6608030796051,"3","0.01"
35,35.3363680839539,"3","0.01"
36,35.9926052093506,"3","0.01"
37,36.7273740768433,"3","0.01"
38,37.4276142120361,"3","0.01"
39,38.1242640018463,"3","0.01"
40,38.7953770160675,"3","0.01"
41,39.4930431842804,"3","0.01"
42,40.1737279891968,"3","0.01"
43,41.1743512153625,"3","0.01"
44,42.2099571228027,"3","0.01"
45,42.8608322143555,"3","0.01"
46,43.5104451179504,"3","0.01"
47,44.2407841682434,"3","0.01"
48,44.9588470458984,"3","0.01"
49,45.620453119278,"3","0.01"
50,46.6594660282135,"3","0.01"
51,47.327183008194,"3","0.01"
52,48.3586270809174,"3","0.01"
53,48.9974801540375,"3","0.01"
54,49.6261641979218,"3","0.01"
55,50.2904901504517,"3","0.01"
56,50.9731600284576,"3","0.01"
57,51.6096692085266,"3","0.01"
58,52.3031260967255,"3","0.01"
59,52.9784910678864,"3","0.01"
60,53.6600050926208,"3","0.01"
61,54.6446990966797,"3","0.01"
62,55.2761950492859,"3","0.01"
63,56.2790021896362,"3","0.01"
64,57.3273940086365,"3","0.01"
65,58.0092270374298,"3","0.01"
66,58.7101881504059,"3","0.01"
67,59.4096620082855,"3","0.01"
68,60.0219700336456,"3","0.01"
69,60.6545372009277,"3","0.01"
70,61.2787761688232,"3","0.01"
71,61.8738420009613,"3","0.01"
72,62.5315341949463,"3","0.01"
73,63.1753711700439,"3","0.01"
74,64.2182981967926,"3","0.01"
75,64.9099521636963,"3","0.01"
76,65.5622429847717,"3","0.01"
77,66.2258632183075,"3","0.01"
78,66.8368961811066,"3","0.01"
79,68.1271212100983,"3","0.01"
80,68.7878510951996,"3","0.01"
81,69.7424871921539,"3","0.01"
82,70.3985300064087,"3","0.01"
83,71.7994720935822,"3","0.01"
84,72.5059452056885,"3","0.01"
85,73.1171691417694,"3","0.01"
86,73.780121088028,"3","0.01"
87,74.4083280563354,"3","0.01"
88,75.0653591156006,"3","0.01"
89,75.6822180747986,"3","0.01"
90,76.278519153595,"3","0.01"
91,77.3169550895691,"3","0.01"
92,77.9224290847778,"3","0.01"
93,78.5728089809418,"3","0.01"
94,79.1941120624542,"3","0.01"
